No,섹션No,문항No,문항,보기No,보기
1,S1,Q1,A1. 학년 구분,1,1. 재학생 (~고3)
2,S1,Q1,A1. 학년 구분,2,2.  재수생
3,S1,Q1,A1. 학년 구분,3,3. 삼수이상
4,S1,Q1,A1. 학년 구분,4,4. 검정고시
5,S1,Q2,A2. 입학시기,1,1. 11월~1월
6,S1,Q2,A2. 입학시기,2,2. 2월~4월
7,S1,Q2,A2. 입학시기,3,3. 5월~7월
8,S1,Q2,A2. 입학시기,4,4. 8월~9월
9,S1,Q3,A3. 자기주도학습(독학) 중심의 학습환경을 선택한 이유는 무엇인가요?,1,1. 인터넷강의 중심으로 학습하기 위해
10,S1,Q3,A3. 자기주도학습(독학) 중심의 학습환경을 선택한 이유는 무엇인가요?,2,2. 부족한 과목을 집중적으로 선택 학습하기 위해
11,S1,Q3,A3. 자기주도학습(독학) 중심의 학습환경을 선택한 이유는 무엇인가요?,3,3. 자유로운 시간 관리를 위해
12,S1,Q3,A3. 자기주도학습(독학) 중심의 학습환경을 선택한 이유는 무엇인가요?,4,4. 자기주도학습(순공) 시간을 늘리기 위해
13,S1,Q3,A3. 자기주도학습(독학) 중심의 학습환경을 선택한 이유는 무엇인가요?,5,5. 재수종합학원의 학습 커리큘럼이 비효율적이라고 생각해서
14,S1,Q3,A3. 자기주도학습(독학) 중심의 학습환경을 선택한 이유는 무엇인가요?,6,6. 기타
15,S1,Q4,A4. 이투스247학원을 선택하게 된 이유는 무엇인가요?,1,"1. 담임 선생님의 상담(학습, 성적, 정서, 입시 등)"
16,S1,Q4,A4. 이투스247학원을 선택하게 된 이유는 무엇인가요?,2,"2. 학습관리(플래너 관리, 인강 추천 및 수강 관리)"
17,S1,Q4,A4. 이투스247학원을 선택하게 된 이유는 무엇인가요?,3,"3. 생활관리 (출결 및 전자기기의 관리, 면학분위기 관리)"
18,S1,Q4,A4. 이투스247학원을 선택하게 된 이유는 무엇인가요?,4,"4. 입시관리 (모집요강 분석 및 입시 결과 자료 제공, 수시/정시 컨설팅)"
19,S1,Q4,A4. 이투스247학원을 선택하게 된 이유는 무엇인가요?,5,"5. 학습공간 및 시설(자기주도학습관, 리프레시룸, 렉처룸 등)"
20,S1,Q4,A4. 이투스247학원을 선택하게 된 이유는 무엇인가요?,6,6. 집과의 거리가 가까워서
21,S1,Q4,A4. 이투스247학원을 선택하게 된 이유는 무엇인가요?,7,7. 기타
22,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",1,1. 잇올
23,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",2,2. 러셀
24,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",3,"3. 독학재수학원(수만휘스파르타, 커넥츠프렙, PK독학재수학원 등)"
25,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",4,"4. 독학기숙학원(수만휘 독학기숙학원, 에듀셀파, SN독학기숙학원 등)"
26,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",5,"5. 재수종합학원(청솔, 강남하이퍼, 메가스터디, 대성, 시대인재 등)"
27,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",6,"6. 재종기숙학원(강남대성 기숙학원, 메가스터디 기숙학원, 비상에듀 기숙학원 등)"
28,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",7,7. 프리미엄 독서실(관리형 포함) & 스터디 카페
29,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",8,8. 없음
30,S1,Q5,"A5. 이투스247학원 등록 전, 공부한 곳은 어디인가요?",9,9. 기타
31,S1,Q6,"A5-1. 위 문항에서 7번을 선택하신 경우, 공부했던 독서실 또는 스터디카페는 어디인가요?",1,1. 르하임
32,S1,Q6,"A5-1. 위 문항에서 7번을 선택하신 경우, 공부했던 독서실 또는 스터디카페는 어디인가요?",2,2. 토즈
33,S1,Q6,"A5-1. 위 문항에서 7번을 선택하신 경우, 공부했던 독서실 또는 스터디카페는 어디인가요?",3,3. 초심
34,S1,Q6,"A5-1. 위 문항에서 7번을 선택하신 경우, 공부했던 독서실 또는 스터디카페는 어디인가요?",4,4. 멘토즈
35,S1,Q6,"A5-1. 위 문항에서 7번을 선택하신 경우, 공부했던 독서실 또는 스터디카페는 어디인가요?",5,5. 어라운드
36,S1,Q6,"A5-1. 위 문항에서 7번을 선택하신 경우, 공부했던 독서실 또는 스터디카페는 어디인가요?",6,6. 플랜에이
37,S1,Q6,"A5-1. 위 문항에서 7번을 선택하신 경우, 공부했던 독서실 또는 스터디카페는 어디인가요?",7,7. 작심
38,S1,Q6,"A5-1. 위 문항에서 7번을 선택하신 경우, 공부했던 독서실 또는 스터디카페는 어디인가요?",8,8. 기타
39,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",1,1. 잇올
40,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",2,2. 러셀
41,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",3,"3. 독학재수학원(수만휘스파르타, 커넥츠프렙, PK독학재수학원 등)"
42,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",4,"4. 독학기숙학원(수만휘 독학기숙학원, 에듀셀파, SN독학기숙학원 등)"
43,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",5,"5. 재수종합학원(청솔, 강남하이퍼, 메가스터디, 대성, 시대인재 등)"
44,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",6,"6. 재종기숙학원(강남대성 기숙학원, 메가스터디 기숙학원, 비상에듀 기숙학원 등)"
45,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",7,7. 프리미엄 독서실(관리형 포함) & 스터디 카페
46,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",8,8. 없음
47,S1,Q7,"A6. 학원 선택 시, 고려했던 학원이나 독서실(스터디 카페)이 있다면 어디인가요?",9,9. 기타
48,S1,Q8,"A6-1. 위 문항에서 7번을 선택하신 경우, 고려했던 독서실 또는 스터디카페는 어디인가요?",1,1. 르하임
49,S1,Q8,"A6-1. 위 문항에서 7번을 선택하신 경우, 고려했던 독서실 또는 스터디카페는 어디인가요?",2,2. 토즈
50,S1,Q8,"A6-1. 위 문항에서 7번을 선택하신 경우, 고려했던 독서실 또는 스터디카페는 어디인가요?",3,3. 초심
51,S1,Q8,"A6-1. 위 문항에서 7번을 선택하신 경우, 고려했던 독서실 또는 스터디카페는 어디인가요?",4,4. 멘토즈
52,S1,Q8,"A6-1. 위 문항에서 7번을 선택하신 경우, 고려했던 독서실 또는 스터디카페는 어디인가요?",5,5. 어라운드
53,S1,Q8,"A6-1. 위 문항에서 7번을 선택하신 경우, 고려했던 독서실 또는 스터디카페는 어디인가요?",6,6. 플랜에이
54,S1,Q8,"A6-1. 위 문항에서 7번을 선택하신 경우, 고려했던 독서실 또는 스터디카페는 어디인가요?",7,7. 작심
55,S1,Q8,"A6-1. 위 문항에서 7번을 선택하신 경우, 고려했던 독서실 또는 스터디카페는 어디인가요?",8,8. 기타
56,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,1,"1. 인터넷 검색 및 SNS(블로그, 인스타그램 등)"
57,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,2,"2. 입시, 공부 관련 유튜브 채널"
58,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,3,"3. 입시/학습 커뮤니티 (수만휘,  오르비 등)"
59,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,4,4. 가족 추천
60,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,5,"5. 지인(친구, 선배 등) 추천"
61,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,6,6. 집과 가까움 / 지나다니면서 봄
62,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,7,"7. 학원 광고물(전단지, 현수막, 배너 등)"
63,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,8,"8. 고등학교 재학 중 윈터,썸머스쿨에 다닌 경험이 있음"
64,S1,Q9,A7. 이투스247학원을 어떻게 처음 인지하게 되었나요?,9,9. 기타
65,S1,Q10,A8. 이투스247학원 관련 정보를 가장 많이 얻은 곳은 어디인가요?,1,1. 이투스247학원 홈페이지
66,S1,Q10,A8. 이투스247학원 관련 정보를 가장 많이 얻은 곳은 어디인가요?,2,"2. 이투스247학원 블로그 및 재원생 SNS(블로그, 인스타그램 등) 후기"
67,S1,Q10,A8. 이투스247학원 관련 정보를 가장 많이 얻은 곳은 어디인가요?,3,3. 이투스247학원 유튜브 채널
68,S1,Q10,A8. 이투스247학원 관련 정보를 가장 많이 얻은 곳은 어디인가요?,4,"4. 입시/학습 커뮤니티 (수만휘,  오르비 등)"
69,S1,Q10,A8. 이투스247학원 관련 정보를 가장 많이 얻은 곳은 어디인가요?,5,5. 가족
70,S1,Q10,A8. 이투스247학원 관련 정보를 가장 많이 얻은 곳은 어디인가요?,6,"6. 지인(친구, 선배 등)"
71,S1,Q10,A8. 이투스247학원 관련 정보를 가장 많이 얻은 곳은 어디인가요?,7,7. 학원 상담(방문 또는 전화)
72,S1,Q10,A8. 이투스247학원 관련 정보를 가장 많이 얻은 곳은 어디인가요?,8,8. 기타
73,S1,Q11,"A9. 이투스247학원에 등록 전, 결정에 도움이 되었던 홈페이지 콘텐츠는 무엇인가요?",1,1. 이투스247학원 소개 페이지
74,S1,Q11,"A9. 이투스247학원에 등록 전, 결정에 도움이 되었던 홈페이지 콘텐츠는 무엇인가요?",2,2. 스마트 관리 페이지
75,S1,Q11,"A9. 이투스247학원에 등록 전, 결정에 도움이 되었던 홈페이지 콘텐츠는 무엇인가요?",3,"3. 모집페이지(정규반, 프리반수반등)"
76,S1,Q11,"A9. 이투스247학원에 등록 전, 결정에 도움이 되었던 홈페이지 콘텐츠는 무엇인가요?",4,4. 대학합격후기 및 현황 페이지
77,S1,Q11,"A9. 이투스247학원에 등록 전, 결정에 도움이 되었던 홈페이지 콘텐츠는 무엇인가요?",5,5. 문의게시판(자주 묻는 질문)
78,S1,Q11,"A9. 이투스247학원에 등록 전, 결정에 도움이 되었던 홈페이지 콘텐츠는 무엇인가요?",6,6. 공지사항
79,S1,Q11,"A9. 이투스247학원에 등록 전, 결정에 도움이 되었던 홈페이지 콘텐츠는 무엇인가요?",7,7. 오늘의 247
80,S1,Q11,"A9. 이투스247학원에 등록 전, 결정에 도움이 되었던 홈페이지 콘텐츠는 무엇인가요?",8,8. 기타
81,S2,Q1,B1. 학습관리 만족도,1,1. 만족
82,S2,Q1,B1. 학습관리 만족도,2,2. 불만족
83,S2,Q2,B2. 학습관리 중 가장 만족하는 것은 무엇인가요?,1,1. 학습 성향 및 성취도 진단
84,S2,Q2,B2. 학습관리 중 가장 만족하는 것은 무엇인가요?,2,2. 학습 계획 플래너 관리
85,S2,Q2,B2. 학습관리 중 가장 만족하는 것은 무엇인가요?,3,3. 인강(교재)추천 및 수강 관리
86,S2,Q2,B2. 학습관리 중 가장 만족하는 것은 무엇인가요?,4,4. 성적 리포팅 및 관리
87,S2,Q2,B2. 학습관리 중 가장 만족하는 것은 무엇인가요?,5,5. 1:1 질의응답
88,S2,Q2,B2. 학습관리 중 가장 만족하는 것은 무엇인가요?,6,6. 기타
89,S2,Q3,"B3. 학습 진단 검사(LMTI-학습성향검사, LMAT-학습 성취도 검사, LMIP-인강 및 교재 추천) 만족도",1,1. 안내 받은 적 없음
90,S2,Q3,"B3. 학습 진단 검사(LMTI-학습성향검사, LMAT-학습 성취도 검사, LMIP-인강 및 교재 추천) 만족도",2,2. 필요하지 않아 진행 안 함
91,S2,Q3,"B3. 학습 진단 검사(LMTI-학습성향검사, LMAT-학습 성취도 검사, LMIP-인강 및 교재 추천) 만족도",3,3. 보통
92,S2,Q3,"B3. 학습 진단 검사(LMTI-학습성향검사, LMAT-학습 성취도 검사, LMIP-인강 및 교재 추천) 만족도",4,4. 만족
93,S2,Q3,"B3. 학습 진단 검사(LMTI-학습성향검사, LMAT-학습 성취도 검사, LMIP-인강 및 교재 추천) 만족도",5,5. 불만족
94,S2,Q4,B4. 생활관리 만족도,1,1. 만족
95,S2,Q4,B4. 생활관리 만족도,2,2. 불만족
96,S2,Q5,B5. 생활관리 중 가장 만족하는 것은 무엇인가요? ,1,1. 면학분위기 조성
97,S2,Q5,B5. 생활관리 중 가장 만족하는 것은 무엇인가요? ,2,2. 출결 및 외출 관리
98,S2,Q5,B5. 생활관리 중 가장 만족하는 것은 무엇인가요? ,3,3. 휴대폰 관리
99,S2,Q5,B5. 생활관리 중 가장 만족하는 것은 무엇인가요? ,4,4. 졸음관리
100,S2,Q5,B5. 생활관리 중 가장 만족하는 것은 무엇인가요? ,5,5. 체계적인 시간표 운영
